"filename", "language", "PHP", "JavaScript", "HTML", "JSON", "CSS", "Markdown", "XML", "Shell Script", "YAML", "Docker", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jquery-steps\jquery.steps.js", "JavaScript", 0, 868, 0, 0, 0, 0, 0, 0, 0, 0, 0, 942, 232, 2042
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jquery-validation\jquery.validate.js", "JavaScript", 0, 1173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 173, 228, 1574
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jvectormap\jquery-jvectormap-2.0.3.css", "CSS", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 22, 135
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jvectormap\jquery-jvectormap-2.0.3.min.css", "CSS", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jvectormap\jquery-jvectormap-au-mill.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jvectormap\jquery-jvectormap-in-mill.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jvectormap\jquery-jvectormap-uk-mill-en.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jvectormap\jquery-jvectormap-us-aea-en.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\jvectormap\jquery-jvectormap-world-mill-en.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\light-gallery\css\lightgallery.css", "CSS", 0, 0, 0, 0, 816, 0, 0, 0, 0, 0, 0, 5, 26, 847
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\light-gallery\fonts\lgd641.svg", "XML", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 42
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\light-gallery\js\lightgallery-all.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 5
"c:\xampp\htdocs\mainProject\pages\admin\assets\plugins\momentjs\moment.js", "JavaScript", 0, 3163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 335, 697, 4195
